2;35166
10;33826
20;35166
4;35315
15;35354
11;34177
17;31127
18;35166
15;34564
9;31031
10;35309
19;30587
11;34177
5;31015
17;30456
11;34177
10;35309
10;0
5;30417
2;30199
5;31015
5;32035
18;35166
17;30456
5;33918
10;35309
2;30199
11;34177
17;33594
11;34177
8;30399
19;32035
20;30399
10;31835
5;32035
5;30417
19;30587
18;35166
4;32483
5;31015
2;30199
15;35354
15;35309
5;30417
4;31127
15;32908
10;31127
6;33594
15;35354
17;31127
15;35354
2;30587
15;34564
2;30587
5;32035
2;35166
11;34177
20;34524
11;34177
15;34564
6;33594
19;30587
5;32035
10;33826
5;30417
10;31835
15;35354
11;34177
5;31015
17;30456
20;32780
19;0
9;31031
15;34564
17;33594
5;31015
2;30199
5;31015
6;1
4;35315
10;35309
20;30399
8;30399
6;33594
5;33918
10;31127
17;31127
5;30417
5;32035
5;1
4;32483
15;34564
20;32908
1;35166
11;34177
17;30456
18;35166
20;1
17;31127
2;33918
10;35309
2;30199
11;34177
18;35166
1;35166
11;34177
5;32035
15;35309
4;31127
9;31031
20;34524
17;31127
20;34524
5;32035
2;35166
15;34564
17;33594
6;33594
12;0
17;30456
15;35354
20;30399
15;35354
11;34177
20;1
20;34524
5;33918
17;33594
15;32908
2;30199
11;35309
20;34524
5;31015
11;0
1;35166
17;30456
20;34524
2;33918
2;35166
20;32908
9;31031
5;30417
2;33918
5;31015
15;35354
2;33918
4;31127
15;35309
9;31031
17;33594
15;32908
4;35315
14;35166
20;30399
2;30199
17;30456
17;31127
8;30399
8;30399
14;35166
17;30456
9;31031
2;33918
4;35315
17;30456
2;35166
2;35166
18;35166
5;31015
15;34564
4;32483
2;30199
13;31835
9;31031
6;32780
17;31127
10;35309
19;30587
17;30456
12;30399
5;30417
6;33594
15;35354
15;35354
20;30399
11;30456
1;35166
18;35166
20;32908
19;32035
11;34177
5;32035
13;31835
11;35309
5;32035
2;30199
1;35166
14;35166
19;30587
11;35309
11;30456
11;34177
2;33918
5;32035
15;34564
17;31127
20;30399
13;31835
8;1
5;31015
17;30456
5;30417
2;35166
8;35309
7;0
2;33918
17;31127
5;31015
5;31015
19;30587
17;33594
13;31835
19;30587
14;35166
4;35315
15;34564
17;31127
6;33594
5;32035
9;31031
15;34564
9;31031
2;35166
13;31835
6;33594
8;30399
10;35309
20;32780
10;33826
14;35166
5;32035
15;34564
5;33918
11;34177
15;34564
5;32035
6;33594
20;32780
5;30417
8;30399
2;30199
2;30199
2;35166
10;33826
2;30199
17;30456
18;35166
10;31127
15;35354
15;34564
5;31015
10;35309
2;30199
11;35309
17;31127
20;34524
17;33594
9;31031
20;34524
7;1
2;35166
11;34177
17;30456
8;35309
19;30587
6;33594
10;35309
20;32908
15;34564
4;31127
2;30587
11;34177
17;33594
13;31835
19;30587
15;35354
8;35309
2;30199
9;31031
11;35309
10;33826
17;33594
16;31127
9;1
10;31835
11;30456
2;30199
2;33918
2;33918
19;30587
18;35166
13;31835
17;0
2;35166
4;35315
1;35166
17;31127
15;34564
11;30456
20;32780
17;33594
4;35354
9;31031
6;32780
15;32908
3;0
10;31127
5;33918
15;34564
15;35309
5;1
2;35166
11;34177
15;34564
4;31127
20;30399
10;31127
2;30199
10;35309
18;35166
6;33594
18;35166
19;32035
16;1
5;30417
17;33594
5;33918
4;33597
2;30587
5;32035
5;30417
20;30399
15;34564
12;30399
10;31835
13;31835
19;30587
15;34564
14;35166
14;35166
9;31031
17;30456
4;35315
5;30417
11;30456
15;32908
10;35309
4;31127
18;35166
18;35166
18;35166
18;35166
11;30456
11;34177
14;35166
20;32908
20;34524
2;30199
17;31127
2;35166
20;30399
16;31127
11;34177
13;31835
17;33594
11;34177
10;33826
2;30587
20;30399
2;35166
19;32035
11;30456
15;35354
18;35166
20;32780
11;35309
13;31835
6;32780
4;35354
17;31127
1;35166
4;33597
2;33918
15;34564
2;30199
5;30417
13;31835
19;32035
12;0
20;30399
4;35315
5;32035
12;30399
5;30417
18;35166
19;0
11;34177
4;35354
10;35309
5;31015
8;30399
14;35166
10;33826
5;32035
16;31127
18;35166
5;30417
7;1
5;31015
17;33594
13;31835
15;34564
5;31015
15;35354
4;35315
4;35315
2;35166
15;35309
15;35309
20;32908
15;35309
10;31835
5;30417
2;30587
15;34564
4;31127
11;34177
17;30456
2;30587
10;31127
14;35166
13;31835
18;35166
11;35309
20;30399
2;30199
6;32780
20;30399
13;31835
20;30399
8;35309
4;33597
5;31015
20;30399
15;34564
11;30456
4;35315
2;35166
2;35166
10;35309
18;35166
5;31015
17;30456
5;31015
17;33594
1;35166
17;31127
14;35166
10;33826
8;30399
17;30456
20;32908
2;30199
15;32908
17;31127
17;30456
18;35166
18;35166
2;35166
17;31127
2;30199
15;34564
18;35166
14;35166
15;35354
15;32908
11;34177
18;35166
3;1
15;34564
15;35354
18;35166
10;33826
1;35166
20;30399
1;35166
17;30456
5;30417
16;31127
17;30456
19;30587
19;32035
20;30399
8;30399
19;30587
9;1
20;32908
17;33594
4;35315
9;32908
4;35315
11;34177
5;31015
5;32035
15;34564
5;30417
4;33597
19;30587
15;34564
4;35315
10;31127
18;1
5;0
9;31031
18;35166
6;33594
5;31015
10;31127
11;34177
15;32908
5;32035
4;33597
5;32035
6;0
20;34524
17;33594
18;0
17;30456
6;33594
10;35309
14;35166
20;0
17;30456
5;32035
2;30199
17;30456
15;34564
5;30417
17;30456
19;30587
19;30587
10;33826
9;31031
9;31031
11;34177
2;30587
12;30399
14;35166
17;30456
20;30399
18;35166
18;35166
9;31031
13;31835
17;30456
19;32035
